Description|Content|PublishedAt|vader_polarity|Sentiment_vader|blob_polarity|Sentiment_blob
malvern pabusiness wire pqg refinancingpq group holdings announces successful pricing and allocation of new senior secured term loan facility|malvern pabusiness wirepq group holdings inc nysepqg a leading integrated and innovative global provider of specialty catalysts materials chemicals and services announced today that its indirect wholly owned subsidiary pq corporation the “company” has successfully secured commitments for a nonfungible senior secured term loan facility “new term loan facility” in an aggregate principal amount of 650 million proceeds will be used to redeem the companys 6750 senior secured notes due two thousand and twentytwo the “2022 notes” this refinancing will significantly reduce the companys interest expense and extend all material debt maturities to two thousand and twentyfive or later the new term loan facility will be issued with an original issue discount of 15 will have interest at a floating rate of libor with a 1 minimum libor floor plus 30 per annum and will mature in february 2027 coterminous with the companys existing term loan facility as a result of the refinancing the company expects to reduce cash interest by approximately 16 million per annum “we are very pleased with the favorable outcome of this refinancing which again highlights investors confidence in the resiliency of our portfolio and financial strength” said mike crews pq executive vice president and chief financial officer as previously announced proceeds from this transaction together with cash on hand will be used to redeem all of the companys existing two thousand and twentytwo notes at the current call price and to pay related fees and expenses the closing of the new term loan facility and the redemption of the two thousand and twentytwo notes are expected to occur on july 22 2020 subject to customary closing conditions pq group holdings inc and subsidiaries is a leading integrated and innovative global provider of specialty catalysts materials chemicals and services we support customers globally through our strategically located network of manufacturing facilities we believe that our products which are predominantly inorganic and services contribute to improving the sustainability of the environment we have four uniquely positioned specialty businesses refining services provides sulfuric acid recycling to the north american refining industry catalysts serves the packaging and engineering plastics and the global refining petrochemical and emissions control industries performance materials produces transportation reflective safety markings for roads and airports and performance chemicals supplies diverse product end uses including personal and industrial cleaning products fuelefficient tires surface coatings and food and beverage products we serve over 4000 customers globally across many end uses and operate over seventy manufacturing facilities which are strategically located across six continents for more information see our website at httpswwwpqcorpcom some of the information contained in this press release constitutes “forwardlooking statements” forwardlooking statements can be identified by words such as “anticipates” “intends” “plans” “seeks” “believes” “estimates” “expects” “projects” and similar references to future periods forwardlooking statements are based on our current expectations and assumptions regarding our business the economy and other future conditions because forwardlooking statements relate to the future they are subject to inherent uncertainties risks and changes in circumstances that are difficult to predict examples of forwardlooking statements include but are not limited to statements regarding the closing of the new term loan facility and the application of the proceeds thereof together with cash on hand to redeem the two thousand and twentytwo notes and to pay related fees and expenses our actual results may differ materially from those contemplated by the forwardlooking statements we caution you therefore against relying on any of these forwardlooking statements they are neither statements of historical fact nor guarantees or assurances of future performance important factors that could cause actual results to differ materially from those in the forwardlooking statements include but are not limited to regional national or global political economic business competitive market and regulatory conditions including the ongoing covid19 pandemic tariffs and trade disputes currency exchange rates and other factors including those described in the sections titled “risk factors” and “management discussion  analysis of financial condition and results of operations” in our filings with the sec which are available on the secs website at wwwsecgov these forwardlooking statements speak only as of the date of this release factors or events that could cause our actual results to differ may emerge from time to time and it is not possible for us to predict all of them we undertake no obligation to update any forwardlooking statement whether as a result of new information future developments or otherwise except as may be required by applicable law|2020-06-25|0.9743|positive|0.07338744588744589|positive
evansville indbusiness wireberry global to supply medicom in support of british governments mask manufacturing mandate|evansville indbusiness wireberry global group inc nyse bery announced today its collaboration with the medicom group medicom to design the manufacturing solution and guarantee the supply of nonwoven fabric intended for use in producing hundreds of millions of face masks annually as part of medicoms agreement with the british government medicom is one of the worlds leading manufacturers of medical and respiratory masks to do so berry is investing in a new stateoftheart meltblown nonwovens line to be outfitted with its proprietary charging technology at one of its uk based facilities to increase capacity of material necessary in the production of europeanstandard type iir and n99equivalent ffp3 masks the masks will be manufactured and sold under medicoms european kolmi brand the british government has enabled these investments through a longterm contractual commitment the agreement confirmed support for medicoms new ukbased production facility which is scheduled to open later this summer this move highlights the focus governments are placing on securing a supply chain that helps ensure a local supply of personal protective equipment “berry has deep roots in the uk we are pleased to support medicom as they open their new facility and help advance safety and protection in the region well beyond the covid19 pandemic” said curt begle president of berrys health hygiene and specialties division this announcement adds to berrys growing list of partnerships to expand capacity of protective materials and add certainty to crucial ppe supply chains berry global group inc nyse bery headquartered in evansville indiana is committed to its mission of ‘always advancing to protect whats important and proudly partners with its customers to provide them with valueadded protective solutions that are increasingly lightweighted and easier to recycle or reuse the company is a leading global supplier of a broad range of innovative rigid flexible and nonwoven products used every day within consumer and industrial end markets berry a fortune five hundred company has approximately 47000 employees and generated 126 billion of pro forma net sales in fiscal year 2019 from operations that span over two hundred and ninety locations on six continents for additional information visit berrys website at berryglobalcom the medicom group is one of the worlds leading manufacturers and distributors of highquality singleuse preventive and infection control products for the medical dental industrial animal health laboratory retail and health and wellness markets medicom distributes infection control products under the medicom ritmed kolmi hopen and ocean pacific brands as well as under the recently acquired hedy brand medicom subsidiaries include kolmihopen in france medicom asia in hong kong united medical enterprise in the usa khm engineering in singapore and medicom healthpro limited in the uk medicom has extensive experience in responding to the demand for personal protective equipment in the event of a pandemic for more information about medicom and their comprehensive portfolio of infection control solutions including an extensive range of medical face masks please visit medicomcom|2020-06-25|0.9962|positive|0.0885760667903525|positive
“lets try to make something good out of something really bad” says “survivor africa” winner and lymphoma survivor ethan zohn|“lets try to make something good out of something really bad” says “survivor africa” winner and lymphoma survivor ethan zohn living with cancer can be an isolating experience the key to getting through it says “survivor africa” winner and lymphoma survivor ethan zohn is to push through the uncertainty and reach out for help whether from friends family or fellow patients who understand the strugglein a recent interview with cure®  zohn opened up about what helped him through his own diagnosis of a rare form of hodgkins lymphoma at age 35 after appearing on the hit reality show “survivor” and playing professional soccer earlier in his life“my advice for someone whos facing a recent diagnosis is to surround yourself with the family and friends that care for you the most” said zohn “be vulnerable and open enough to ask for and receive help as well i think thats important”while zohn noted that it can be difficult to find and make connections with others some organizations exist solely to help patients with cancer bridge that gap zohn credits groups like stupid cancer and imerman angels with helping him through his own cancer treatment and recovery “if youre not the type of person whos going to want to call up or talk to a shrink there are incredible programs out there” said zohncreativity and mindfulness are other important factors that zohn says helped him get through his own diagnosis particularly during the long stretches in isolation while recovering from two stem cell transplants “everyone talks about being creative in isolation” zohn said “i agree its good being creative sparks your mind in a different way and helps pass the time in isolation but in addition to that its a way to connect with other people”focusing on noncancer related things like art classes yoga or meditation classes that may be more readily available online now due to the covid19 pandemic could be helpful for patients or survivors to branch out of their comfort zone and connect with others “this is a good way to break down barriers distract yourself from the reality of whats going on in your life right now and connect with others in a way that might not be around cancer that might make you feel a little bit comfortable”finally finding a purpose is one of the best ways to cope with cancer “i live by the saying to ‘never let a crisis go to waste because its an opportunity to do some really important things” said zohnafter he received his diagnosis and took some time to determine his treatment plans and contemplate his future zohn then turned his focus to helping others by sharing his story “here i was using my cancer nightmare the worst thing that could possibly happen to me to help others in the world said zohn “helping others get diagnosed earlier helping them manage their cancer care has been made it worthwhile for me to talk about my journey”“lets try to make something good out of something really bad”|2020-06-25|0.9201|positive|0.13919773537120478|positive
toronto june 25 two thousand and twenty prnewswire  aclu president susan herman today said a two thousand and fifteen report on the minneapolis police proved the department was highly racist – five years before one of its members killed george floyd this may herman made the remarks at the…|toronto june 25 two thousand and twenty prnewswire  aclu president susan herman today said a two thousand and fifteen report on the minneapolis police proved the department was highly racist – five years before one of its members killed george floyd this may herman made the remarks at the 30000attendee online conference collision from home produced by the team behind web summit – the worlds largest tech conference in two thousand and fifteen the aclu did a report on the minneapolis police department which showed clearly that the minneapolis police department was highly racist – they were arresting people over eight times as often for minor offences and so the police department did adopt some minor reforms they were doing bias training – and hey it didnt work its not enough said herman herman articulated her vision for defunding the police something she said is misunderstood and that makes people nervous adding the people who are afraid of defunding the police are the people who are fortunate enough to be in a position where the police make them feel safe not everyone feels safer when the police are around – some people feel more threatened herman said defunding the police means reconsidering when we want policebased response to societal issues or whether different responses would be both more appropriate and effective a quarter of the people who police end up arresting are people who have mental health issues and people who are acting strangely so if we had real mental health services to deal with these people or if we dealt with homelessness or drug addiction in ways other than having the police have a major footprint all over the place number one we would be reducing the opportunities for the police to be effecting what i think almost inevitably is arbitrary and discriminatory enforcement and number two we could use the money in better ways the city of los angeles spends almost a third of its city budget on policing they just agreed to reduce that by some but the idea of defunding is maybe we could use that money in better ways that would actually keep us safer said herman susan herman is president of the aclu she holds a chair as centennial professor of law at brooklyn law school where she teaches constitutional law criminal procedure and a new seminar titled covid19 and the constitution collision is known by cbc as the tiff for tech while inc magazine calls it the fastestgrowing tech conference in north america collision is set to move online for two thousand and twenty with collision from home collision will return to toronto as a physical event for the second year from june 2124 two thousand and twentyone at the enercare centre forbes says web summit is the best tech conference on the planet bloomberg calls it davos for geeks politico the olympics of tech the guardian glastonbury for geeks and in the words of inc magazine web summit is the largest technology conference in the world whatever web summit is it wouldnt be possible without an incredible team of over two hundred employees based in dublin lisbon toronto and hong kong including worldclass engineers data scientists designers producers marketers salespeople and more theyve disrupted an old industry by building incredible software and designing mindblowing events revolutionising how people and ideas come together to change the world|2020-06-25|-0.943|negative|0.1524700956937799|positive
the federal reserve recently banned thirtyfour largest banks from share buybacks in the third quarter q3 the fed additionally capped dividend payment to t|the federal reserve recently banned thirtyfour largest banks from share buybacks in the third quarter q3 the fed additionally capped dividend payment to the second quarter q2 levels for these banks in addition to releasing the results of the two thousand and twenty bank stress test the us central bank also released sensitivity analyses due to the coronavirus covid19 economic impact on thursday while providing a broad update of the stress test fed vice chair randal k quarles said that the banking system has been a source of strength during this crisis and the results of our sensitivity analyses show that our banks can remain strong in the face of even the harshest shocks the board took several actions following its stress tests to ensure large banks remain resilient despite the economic uncertainty from the coronavirus event for the third quarter of this year the board is requiring large banks to preserve capital by suspending share repurchases capping dividend payments and allowing dividends according to a formula based on recent income the board is also requiring banks to reevaluate their longerterm capital plans all large banks will be required to resubmit and update their capital plans later this year to reflect current stresses which will help firms reassess their capital needs and maintain strong capital planning practices during this period of uncertainty the board will conduct additional analysis each quarter to determine if adjustments to this response are appropriate although the announcement came after wall streets close the news might help equities to extend the recent consolidation and favor a bit to the risks however fears of the coronavirus covid19 as harsh enough to restrict any major optimism|2020-06-25|-0.4986|negative|0.09206349206349206|positive
nearly 11 million coronavirus relief payments totaling some 14 billion went to dead people a government watchdog reported thursday|washington — nearly 11 million coronavirus relief payments totaling some 14 billion went to dead people a government watchdog reported thursday legal and political issues hang over the misdirected taxpayer funds the latest example of errors in massive aid being dispensed at crisis speed more than one hundred and thirty million socalled economic impact payments were sent to taxpayers as part of the 24 trillion coronavirus relief package enacted in march the government accountability office congress auditing arm cited the number of erroneous payments to deceased taxpayers in its report on the government programs while the government has asked survivors to return the money its not clear they have to it also may be a politically sensitive gambit for the treasury department to aggressively seek to claw back the money especially because some recipients may have died in the early months of this year from covid19 when billions in aid are rushed out the door in a crisis “these are the kinds of things that happen” said lisa gilbert executive vice president of advocacy group public citizen gilbert acknowledged the sensitivity of the issue but she added “its a big number particularly at this moment when our economy is in freefall its a large amount of taxpayer money thats not doing what it was intended to do” the errors occurred mainly because of a lag in reporting data on who is deceased its a lapse that tax experts say is almost inevitable the revelation of more than 1 billion in public money erroneously paid out shines a light on the part of the governments massive relief program with which most ordinary americans are most familiar it follows disclosures that several major restaurant chains and other publicly traded companies had received emergency loans under the 670 billion program for the nations struggling small businesses “gao found that more than 1 trillion in taxpayer funds have already been obligated — including more than 1 billion to deceased individuals — with little transparency into how that money is being spent” rep carolyn maloney dny chair of the house oversight and reform committee said in a statement the irs didnt use death records to prevent payments to deceased individuals for the first three batches of payments because of the legal interpretation the agency was operating under the gao report says the irs asked in may for the money back from the deceased taxpayers survivors some legal experts have said the government may not have the legal authority to require that it be returned spokespeople for the treasury department and the irs didnt return requests for comment thursday on the report and whether the governments position remains that the survivors must return the money the payments were by paper check direct deposit or debit card all adults earning up to 75000 in adjusted gross income annually were entitled to 1200 that amount steadily declined for those earning more and phased out for people earning over 99000 former taxpayer advocate nina olson has said there is nothing in the law prohibiting payments from going to the deceased nor is there anything in the law requiring people to return the payments she notes that the language used on the irs website does not say that returning the payments is required by law the relief payments were made to taxpayers based on the information filed on their two thousand and nineteen or two thousand and eighteen taxes but it is considered a rebate on two thousand and twenty taxes the government used the previous tax forms to help speed along payments to the public to offset some of the economic devastation from the coronavirus pandemic but some people who filed those taxes may no longer be alive those payments are sent to an heir or executor of their estate if the payment is based off a final tax return completed after their death an economic impact payment check may even denote next to that persons name that the individual is deceased “i think the irs will do little or nothing to pursue collection of these payments” keith fogg clinical professor at harvard and an expert in tax law said thursday “the cheapest way for the irs to collect is offset of a future refund that avenue will not exist for these taxpayers i dont think the irs will take the somewhat difficult steps to pursue the heirs for this amount of money”|2020-06-25|-0.2298|negative|0.079408797417272|positive
from the left the looming chinaamerica split for years china and the united states were in “a period of unconscious economic coupling” but no more observes the new york times thomas friedman the two are now headed for “divorce” — and chinas “overreach…|from the left the looming chinaamerica split for years china and the united states were in “a period of unconscious economic coupling” but no more observes the new york times thomas friedman the two are now headed for “divorce” — and chinas “overreach” is largely to blame under president xi jinping the country has persecuted uighurs “aggressively” projected its power in the south china sea limited journalists rights curtailed freedoms in hong kong and “hammered countries” that seek an independent inquiry into the coronavirus origins the united states meanwhile has “underperformed” reducing investments in infrastructure education and “governmentfunded scientific research” among other things america and its allies now have to force beijing to “accept new rules” on trade covid19 and other issues alas beijing “respects one thing only leverage” and “today we have too little and china has too much” many elite journalists now argue that journalism should aim for “moral clarity” instead of “neutral objectivity” — a swap reasons matt welch contends that means “consciously elevating narrative ‘truths over verified facts” pulitzer prizewinner wesley lowery for one wants journalists to “positively identify individuals and organizations as ‘racist ” — but how could they know “do ‘civil rights include the individual right to keep and bear arms or to grow your own medical marijuana for personal consumption” the new standard will let leftwing media showcase their “ideological sympathy” inevitably leading to “journalistic sloppiness” or even “actual malfeasance” if the journalists take “refuge in subjectivity” instead of aiming for objectivity as media historian tom rosenstiel warns “journalism will be lost” from the right trumps good immigration move the last thing americas pandemicwracked economy needs is more foreign workers argue national reviews editors so president trump was right to issue a “new proclamation restricting many types of immigration through the end of the year” trump plainly had the requisite ­authority since “current law gives the president incredibly broad authority to restrict immigration he deems ‘detrimental to the interests of the united states ” and policywise “the pandemic has temporarily changed americas immigration needs seeing the jobless rate elevated throughout the economy” the president correctly concluded that we have need of far fewer foreign workers “if congress doesnt like his decision it is free to change the law at any time” back in 2017 recalls the washington posts megan mcardle president trump “came in for much derision” for suggesting that efforts to get rid of confederate statues would soon lead to targeting of george washington and thomas jefferson three years later “trump looks prescient and his critics perhaps a touch naïve” “the iconoclasts having largely defeated the rebel army are turning on the founding fathers” trump understood that “you cannot credibly declare that some revolution in social affairs” from gay marriage to toppling statues “has a natural stopping point unless you personally commit to stopping it when it goes too far” otherwise “you will cede issue after issue to the radicals” — and “end up with something very different” from your original “idealistic vision” ignore the voice of americas “dysfunction and criminality” snarks curtis ellis at american greatness “the usual suspects the new york times and the washington post among them are sounding the alarm” over president trumps choice to head the agency michael pack because he “is — gasp — a conservative” with ties to stephen bannon the voa they claim will ­become “an arm of the trump reelection committee” most “amusing” is how these “corporate media overlords” see themselves “as exemplars” of “objective reporting” theyre basically saying if the voa doesnt do what they do its “prima facie evidence” of interference the truth is given their own failure to be “reliable and authoritative” and to present a “balanced” picture we need — “now more than ever” — an independent voice of america “at home as well as abroad”|2020-06-25|-0.9135|negative|0.12109733700642791|positive
the tampa bay rays are actively exploring scenarios to have fans attend the teams games when mlb games resume according to marc topkin of the tampa bay times   st|the tampa bay rays are actively exploring scenarios to have fans attend the teams games when mlb games resume according to marc topkin of the tampa bay times st petersburg mayor rick kriseman is openminded on this communications director ben kirby told topkin via text thursday hes talked to the rays everyone would like to see the trajectory of the data change but the mayor is receptive to learning more this article will be updated to provide more information on this story as it becomes available get the best sports content from the web and social in the new br app get the app and get the game|2020-06-25|0.8481|positive|0.2545454545454545|positive
uk government provided £44 billion in support for exporters across the country|• results show provided £44 billion in support for uk exports to sixtynine countries • 77 of the companies directly supported were smes 88 of which were based outside of london • s new business plan sets out how it will increase its support to uk exporters and suppliers uk export finance   has today published its results for two thousand and nineteen to 2020 revealing it provided £44 billion in support for uk exports helping uk companies trade with sixtynine countries supported three hundred and thirtynine companies in 201920 up 29 on the previous year with a sharp increase in companies in supply chains indirectly benefiting from support 77 of the companies supported were smes and 88 of these were based outside london as the department works with companies across the uk businesses that benefited from support include environmental street furniture a belfast firm selling street furniture to the dubai arena tall group a printing company in runcorn selling secure high school certificates to the kenyan national examination council and iqa group a glasgowbased utilities contractor helping angola improve its national power supply in the year the uk hosted the ukafrica investment summit to strengthen trade ties with the continent has seen significant growth in its support for uk exports to africa provided £780 million of support to facilitate uk exports to the continent up from £625 million last year and rising from just £85 million five years ago this included £110 million in financing for a new maternity hospital in ghana that will help reduce infant mortality rates in the south of the country secretary of state for international trade liz truss said this has been another outstanding year for uk export finance helping businesses in every part of the uk win export contracts supporting international trade will be crucial as the uk looks to recover from the impact of the covid19 pandemic uk export finance is already playing a critical role at the centre of the governments plan to power an exportled recovery and its offer is more important than ever for uk exporters has today also launched its two thousand and twenty to two thousand and twentyfour business plan which sets out how the department will meet the challenges in providing export credit and trade finance support over the next four years particularly as the uk recovers from the impact of covid19 the business plan outlined new objectives that will allow to adapt its support for smes help businesses across all the regions of the uk access products and focus its activity on sectors and countries where support will have the greatest economic benefit this includes plans to further develop its support for clean growth and renewable energy business by building on the £2 billion recently allocated to s direct lending facility for clean growth projects marcus dolman cochairman of the british exporters association   welcomed the results and said welcomes the positive figures announced by today which show a marked increase in business volumes compared with previous years and we commend for their continued support of uk exporters is a critical resource for uk exporters and their importance will be amplified this year in supporting businesses through the current crisis we praise their enthusiasm and ingenuity in developing new products and services we particularly look forward to the new schemes that are under development being made available to all exporters imminently and see this as a real game changer in the support of uk exports • s support is provided on a commercial basis in partnership with over one hundred private sector providers and the department charges a premium to cover its costs and the risk it takes on in 201920 generated more than £177 million in premium income for the exchequer • this year supported its first ever offshorewind projects in 20192020 enabling british companies to win contracts on the formosa 2 changfang and xidao wind farms in the taiwan strait with more than £300 million of support • support in 20192020 extended to jaguar land rover one of the countrys major exporters guaranteed a £500 million loan to support the companys continued investment into research and development of its electric vehicles  the first deal for of this kind with s support tied to jaguar land rovers overall working capital needs instead of a specific export contract read our two thousand and nineteen to two thousand and twenty performance highlights and the annual report and accounts find out more about our two thousand and twenty to two thousand and twentyfour business plan|2020-06-25|0.9991|positive|0.17348079004329|positive
everybody says oh its my family im going to go see my brother im going to see my cousin and they think thats a safe wordview entire post ›|buzzfeed news has reporters around the world bringing you trustworthy stories about the impact of the coronavirus to help keep this news free become a member  everybody says oh its my family im going to go see my brother im going to see my cousin and they think thats a safe word barbosa told buzzfeed news three have become so ill that they have been hospitalized barbosas 88yearold dad his 86yearold mom and his sister who is going through chemotherapy for breast cancer but after more than a dozen family members threw a surprise birthday dinner party for one of barbosas nieces last month at least eighteen members of the extended family have become sick with covid19 ron barbosas family has always been close members of the dallasarea family see each other practically every day and when the coronavirus pandemic struck many of them thought it would be ok to continue spending time together while they arent certain if the virus started spreading among the family at the may thirty party barbosa 53 who did not attend the gathering said that based on the time they started to see symptoms it seems like the initial transmission among family members happened that weekend he said he believes his nephew who hosted the party for his wife was first exposed to the disease at work and that he had a cough on the day of the gathering next thing you know the two nephews that basically live next door to him they get the same cough and diarrhea body aches and they start getting sick barbosa said by the 6th of june there was a lot of symptoms and by the 9th people are getting really really bad and by the 13th i had to take my sister and my mom to the hospital the rapid spread of the coronavirus among the family comes as cases explode in texas prompting officials there to scramble to bring things under control as of thursday the state has recorded nearly 73000 cases of covid19 and more than 2200 deaths due to recent increases in case numbers and hospitalizations gov greg abbott said on thursday the state will pause any further reopening the last thing we want to do as a state is go backwards and close down businesses abbott said in a statement this temporary pause will help our state corral the spread until we can safely enter the next phase of opening our state for business public health experts have advised people to avoid any close contact with others outside of their immediate household wear face coverings and keep a safe distance from others when they leave home to protect those who are at higher risk of severe illness barbosa who is a volunteer emt and photographer said he and his wife a doctor have not been spending much time with family outside of their own household and that they wear masks and keep their distance when they do leave but he knows not everyone in his family has been doing the same the kids feel like theyre bulletproof he said they say were safe were going to keep living were going to take trips even the airfares are down were blasting off and i said you know what if you come back and kill one of us youre going to feel bad — and then it almost happened|2020-06-25|-0.7264|negative|0.04782845880406857|positive
